max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
987,21,3,5,0.19378423690795898,314dc6b7-1d81-4c8e-aced-d72bc2334c89
1597,34,3,2,0.3180654048919678,1604250f-4e05-4aa9-acaf-1957dda6c65c
1597,377,3,3,0.2351987361907959,23d5d3b3-88ac-4c13-86ae-b652af38a352
1597,377,3,3,0.4595377445220947,eea4916a-a8cd-4d35-a1a8-276cb3aa7955
233,55,3,3,0.23115062713623047,e21d4acf-f114-40e8-a39c-1bd6d80d7619
377,55,21,2,0.31351399421691895,d30352ff-6de3-4b69-bf64-6af4e70c9cf7
89,987,5,3,0.2666208744049072,2f4fc0dd-bf57-4412-b60c-844a01250b52
21,987,13,5,0.30338191986083984,c68b3529-8c54-49b8-8119-b0b0510eda9c
377,610,3,3,0.40732336044311523,6173a3d7-5382-4350-b895-16738966207b
377,4181,5,2,0.2776017189025879,915cf2d3-8834-4994-bf13-d97ed28f14c0
233,2584,3,5,0.4949028491973877,f1f9ed3f-883e-463a-a433-8c51d8f3affe
610,1597,3,5,0.25284719467163086,839b2c96-8bb9-4923-88dd-dc8123c03c21
